id;creation_date;update_date;start_date;end_date;cost_amount
1dd59a02-a4dc-49e9-bba0-a30b0d8a7dbb;2025-10-23T02:31:39;2025-10-22T17:15:59;2025-10-22T13:37:18;2025-10-22T23:33:07;9787.5
515e20c3-f885-48c6-8581-3101e098bf88;2025-10-23T10:09:48;2025-10-23T04:55:31;2025-10-23T04:19:50;2025-10-22T14:52:51;16828.69
092a02a1-f532-40c5-bf95-695b8c8391ca;2025-10-22T22:05:57;2025-10-23T04:13:37;2025-10-23T04:48:31;2025-10-22T14:54:30;6099.48
ecd85163-254f-4deb-8b2a-f4d089f93700;2025-10-23T08:40:16;2025-10-23T03:56:58;2025-10-23T01:10:48;2025-10-22T18:45:36;27771.48
a78a713f-52b6-4ba0-938f-6583891b0501;2025-10-22T17:02:13;2025-10-23T13:07:37;2025-10-23T13:15:44;2025-10-22T14:36:34;1878.61
cfb73e0c-f5dc-4052-9ce5-09cb8e7b1188;2025-10-22T19:08:48;2025-10-23T00:39:11;2025-10-23T08:43:59;2025-10-23T08:03:27;27970.6
ffa0830c-5b88-4394-8e62-9bb4bc99fafe;2025-10-22T15:59:36;2025-10-23T11:22:04;2025-10-22T17:20:44;2025-10-23T08:04:02;28261.58
bf5890a1-222f-44ca-b3d8-3e677f529f8e;2025-10-22T20:21:56;2025-10-22T19:05:07;2025-10-22T22:28:29;2025-10-22T15:14:46;9233.22
b8158ec8-dcb6-4f9c-81fe-b5873db43c0a;2025-10-23T13:07:13;2025-10-22T21:20:58;2025-10-22T13:39:53;2025-10-23T07:04:22;11452.44
1f5fee45-d16a-4abe-93d5-849407037f33;2025-10-22T22:46:58;2025-10-22T13:56:21;2025-10-22T16:43:09;2025-10-22T18:01:09;10748.01
